query	clicks	impressions	ctr	position
top models agency	0	3	0	25.333333333333332
uk models agency	0	1	0	4
ultimate models, modeling agency	0	1	0	19
vic cayo	0	2	0	13.5
vivens models latest	0	13	0	18.46153846153846
vivians models	0	1	0	18
vivians models latest	0	11	0	16
vivien's	0	1	0	6
vivien's model management sydney	0	2	0	42.5
vivien's model management, modelling agency, sydney	0	32	0	15.84375
viviennes models	0	1	0	24
viviens brisbane	0	11	0	9.6363636363636367
viviens model management latest	0	1	0	20
viviens modelling agency	0	2	0	8
viviens models	0	6	0	38.333333333333336
viviens models brisbane	0	3	0	33
viviens models melbourne	0	1	0	27
what are modeling agencies looking for	0	1	0	8
what are modelling agencies looking for	0	1	0	1
what are the best modeling agencies	0	1	0	6
what is the biggest modeling agency	0	1	0	11
when did jordan barrett become a model	0	1	0	40
where do i book a model	0	78	0	67
where to book a model	0	74	0	66.13513513513513
who is blake david	0	1	0	7
yamba dave photography	0	1	0	8
zi life	0	3	0	35.666666666666664
оливия винтен	0	1	0	1
