old_file	new_file	kept_as_master
1694271713315-0V9AMVWGQ1MGJUVV5LS3--DaveBlake_EktachromeShoot-BronteSun-001-1-format-750w.jpg	-2--169427171331.jpg	yes
1694271713315-0V9AMVWGQ1MGJUVV5LS3--DaveBlake_EktachromeShoot-BronteSun-001-1.jpg	-2--169427171331.jpg	no
1697743900238-OXAGBUGYUZENQK8Q2PZE---27.jpg	-2--169774390023.jpg	yes
1697810802255-Z547X6PPFJB1ODPLCRS0--image-asset-format-2500w.jpeg	-2--169781080225.jpg	no
1697810802255-Z547X6PPFJB1ODPLCRS0--image-asset-format-750w.jpeg	-2--169781080225.jpg	no
1697810802255-Z547X6PPFJB1ODPLCRS0--image-asset.jpeg	-2--169781080225.jpg	yes
1697810911253-FKMN02SKOJ0LG1J05Y7Z--DaveBlake_COACH-Remix-TrainEditorial-001_47-format-1500w.jpg	-2--169781091125.jpg	no
1697810911253-FKMN02SKOJ0LG1J05Y7Z--DaveBlake_COACH-Remix-TrainEditorial-001_47-format-750w.jpg	-2--169781091125.jpg	no
1697810911253-FKMN02SKOJ0LG1J05Y7Z--DaveBlake_COACH-Remix-TrainEditorial-001_47.jpg	-2--169781091125.jpg	yes
1700524612248-2W3KGFLBQG7I3LAA2TX6--by_Dave_Blake_20220129_Flower4778__2022_1-format-1500w.jpg	-2--170052461224.jpg	no
1700524612248-2W3KGFLBQG7I3LAA2TX6--by_Dave_Blake_20220129_Flower4778__2022_1-format-750w.jpg	-2--170052461224.jpg	no
1700524612248-2W3KGFLBQG7I3LAA2TX6--by_Dave_Blake_20220129_Flower4778__2022_1.jpg	-2--170052461224.jpg	yes
1704319593468-62O3E8JX8RNDNNV4LMK4--LH_0804-1.jpg	-2--170431959346.jpg	no
1704319593468-62O3E8JX8RNDNNV4LMK4--LH_0804-1.jpg-format-2500w.jpg	-2--170431959346.jpg	yes
1704319593468-62O3E8JX8RNDNNV4LMK4--LH_0804-1.jpg-format-750w.jpg	-2--170431959346.jpg	no
1704319594356-PCIBHI3598X43ST12A7R--LH_0403-1.jpg	-2--170431959435.jpg	no
1704319594356-PCIBHI3598X43ST12A7R--LH_0403-1.jpg-format-1500w.jpg	-2--170431959435.jpg	yes
1704319594356-PCIBHI3598X43ST12A7R--LH_0403-1.jpg-format-750w.jpg	-2--170431959435.jpg	no
1704319595112-2ISER65HSD4Q4PI81OTG--LH_0300.jpg	-2--170431959511.jpg	yes
1704319595112-2ISER65HSD4Q4PI81OTG--LH_0300.jpg-format-2500w.jpg	-2--170431959511.jpg	no
1704319595112-2ISER65HSD4Q4PI81OTG--LH_0300.jpg-format-750w.jpg	-2--170431959511.jpg	no
1705690802052-ZS78PHXZNXR4DSB4PQBS--DaveBlake-JasmineDwyer_91-content-type-image-jpeg.jpg	-2--170569080205.jpg	no
1705690802052-ZS78PHXZNXR4DSB4PQBS--DaveBlake-JasmineDwyer_91-format-2500w.jpg	-2--170569080205.jpg	yes
1705690802052-ZS78PHXZNXR4DSB4PQBS--DaveBlake-JasmineDwyer_91-format-750w.jpg	-2--170569080205.jpg	no
