"page","query","clicks","impressions","ctr","position"
"https://dave-blake.com/model-portfolios/byron-bay","byron bay model",0,3,0,6.666666666666667
"https://dave-blake.com/model-portfolios/byron-bay","byron bay model agency",0,11,0,9.9090909090909083
"https://dave-blake.com/model-portfolios/byron-bay","byron bay models",0,33,0,11.242424242424242
"https://dave-blake.com/model-portfolios/byron-bay","byron model",0,1,0,1
"https://dave-blake.com/model-portfolios/byron-bay","maja elmstrom",0,5,0,45
"https://dave-blake.com/model-portfolios/byron-bay","marvell lane brisbane",0,1,0,57
"https://dave-blake.com/model-portfolios/byron-bay","model agencies gold coast",0,2,0,97.5
"https://dave-blake.com/model-portfolios/byron-bay","model agency byron bay",0,17,0,8.117647058823529
"https://dave-blake.com/model-portfolios/byron-bay","model portfolio gold coast",0,10,0,35.8
"https://dave-blake.com/model-portfolios/byron-bay","model portfolio northen nsw",0,10,0,4.3
"https://dave-blake.com/model-portfolios/byron-bay","modeling agencies",0,1,0,32
"https://dave-blake.com/model-portfolios/byron-bay","modeling portfolio photographers",0,1,0,98
"https://dave-blake.com/model-portfolios/byron-bay","portfolio model agency",0,1,0,74
"https://dave-blake.com/model-portfolios/byron-bay","portfolio modelling agency",0,1,0,76
"https://dave-blake.com/model-portfolios/byron-bay","promotional models byron bay",0,3,0,85
"https://dave-blake.com/model-portfolios/sydney","fashion photographer sydney",0,82,0,95.463414634146346
"https://dave-blake.com/model-portfolios/sydney","fashion photographers sydney",0,2,0,86
"https://dave-blake.com/model-portfolios/sydney","kult models sydney",0,2,0,56.5
"https://dave-blake.com/model-portfolios/sydney","model photographer",0,1,0,55
"https://dave-blake.com/model-portfolios/sydney","model photography sydney",0,61,0,41.344262295081968
"https://dave-blake.com/model-portfolios/sydney","model portfolio photographer near me",0,1,0,21
"https://dave-blake.com/model-portfolios/sydney","modelling portfolio photographers",0,1,0,74
"https://dave-blake.com/model-portfolios/sydney","photographer for model portfolio",0,1,0,100
"https://dave-blake.com/model-portfolios/sydney","photographers for model portfolio",0,1,0,100
"https://dave-blake.com/model-portfolios/sydney","priscillas models sydney",0,2,0,84.5
"https://dave-blake.com/model-portfolios/sydney","sydney fashion photographer",0,60,0,90.533333333333331
